Date,close_fox,close_tko
2020-12-31,28.88,48.05
2021-01-04,28.41,47.22
2021-01-05,29.01,48.02
2021-01-06,31.46,48.5
2021-01-07,30.23,48.43
2021-01-08,29.62,48.24
2021-01-11,29.7,47.25
2021-01-12,29.18,48.71
2021-01-13,29.31,50.18
2021-01-14,30.34,51.68
2021-01-15,30.39,50.83
2021-01-19,29.17,52.08
2021-01-20,29.94,51.55
2021-01-21,29.85,52.59
2021-01-22,29.17,55.52
2021-01-25,30.68,53.96
2021-01-26,33.4,57.46
2021-01-27,32.47,57.44
2021-01-28,30.62,56.49
2021-01-29,29.89,56.33
2021-02-01,30.65,57.58
2021-02-02,29.55,57.16
2021-02-03,29.15,56.51
2021-02-04,29.33,56.0
2021-02-05,30.31,49.23
2021-02-08,31.55,47.42
2021-02-09,29.69,47.24
2021-02-10,30.51,46.68
2021-02-11,30.75,47.06
2021-02-12,31.45,46.41
2021-02-16,30.65,46.5
2021-02-17,30.66,47.49
2021-02-18,31.06,47.27
2021-02-19,32.37,46.81
2021-02-22,33.39,47.73
2021-02-23,32.87,48.24
2021-02-24,32.74,49.81
2021-02-25,31.75,48.9
2021-02-26,31.93,49.4
2021-03-01,33.39,52.49
2021-03-02,36.05,52.9
2021-03-03,37.09,51.82
2021-03-04,36.71,52.58
2021-03-05,39.04,54.5
2021-03-08,40.02,56.75
2021-03-09,38.24,56.07
2021-03-10,38.96,57.22
2021-03-11,39.41,58.28
2021-03-12,40.0,57.21
2021-03-15,40.1,57.67
2021-03-16,41.44,57.72
2021-03-17,40.45,56.57
2021-03-18,40.4,55.96
2021-03-19,40.35,57.12
2021-03-22,41.15,57.74
2021-03-23,39.21,56.37
2021-03-24,37.95,56.59
2021-03-25,38.42,55.25
2021-03-26,36.17,55.0
2021-03-29,35.82,56.09
2021-03-30,35.84,55.95
2021-03-31,34.93,54.26
2021-04-01,35.0,55.59
2021-04-05,35.13,55.49
2021-04-06,35.77,56.05
2021-04-07,35.91,56.5
2021-04-08,35.63,56.09
2021-04-09,36.08,58.36
2021-04-12,36.1,56.8
2021-04-13,36.35,56.35
2021-04-14,36.15,56.23
2021-04-15,36.77,56.74
2021-04-16,36.72,56.36
2021-04-19,36.59,56.74
2021-04-20,36.65,56.58
2021-04-21,37.36,56.94
2021-04-22,37.1,56.22
2021-04-23,37.34,54.23
2021-04-26,37.07,55.62
2021-04-27,37.25,55.75
2021-04-28,36.88,55.55
2021-04-29,36.83,55.68
2021-04-30,36.38,55.11
2021-05-03,35.78,55.89
2021-05-04,35.8,54.34
2021-05-05,35.54,54.21
2021-05-06,36.7,54.96
2021-05-07,37.17,54.87
2021-05-10,37.25,54.59
2021-05-11,37.39,54.05
2021-05-12,36.49,52.81
2021-05-13,37.07,52.81
2021-05-14,36.27,53.69
2021-05-17,35.84,53.9
2021-05-18,36.32,52.97
2021-05-19,36.22,52.69
2021-05-20,36.14,54.63
2021-05-21,36.38,57.55
2021-05-24,36.31,57.92
2021-05-25,35.9,57.28
2021-05-26,36.16,56.88
2021-05-27,36.81,56.67
2021-05-28,36.28,55.84
2021-06-01,35.99,55.66
2021-06-02,35.59,56.01
2021-06-03,35.16,56.77
2021-06-04,35.67,56.83
2021-06-07,35.6,56.29
2021-06-08,35.16,58.15
2021-06-09,36.03,64.48
2021-06-10,35.86,64.88
2021-06-11,36.2,62.55
2021-06-14,35.96,63.44
2021-06-15,35.98,61.69
2021-06-16,35.93,59.73
2021-06-17,35.44,58.78
2021-06-18,35.78,57.83
2021-06-21,35.77,57.78
2021-06-22,35.74,59.16
2021-06-23,35.7,58.6
2021-06-24,36.28,58.79
2021-06-25,36.39,59.94
2021-06-28,36.2,59.01
2021-06-29,35.04,57.96
2021-06-30,35.2,57.89
2021-07-01,35.56,58.36
2021-07-02,35.37,57.76
2021-07-06,34.73,56.47
2021-07-07,34.5,56.3
2021-07-08,33.81,55.72
2021-07-09,34.51,56.34
2021-07-12,34.9,55.9
2021-07-13,33.97,55.63
2021-07-14,34.38,55.33
2021-07-15,33.88,51.47
2021-07-16,33.37,50.56
2021-07-19,32.6,49.03
2021-07-20,32.87,48.68
2021-07-21,33.88,49.59
2021-07-22,33.75,49.61
2021-07-23,34.01,49.02
2021-07-26,34.32,49.61
2021-07-27,33.96,49.2
2021-07-28,34.02,49.19
2021-07-29,33.94,48.1
2021-07-30,33.24,49.38
2021-08-02,33.29,49.15
2021-08-03,32.82,48.66
2021-08-04,32.64,48.59
2021-08-05,34.29,50.1
2021-08-06,33.74,50.33
2021-08-09,33.5,49.76
2021-08-10,34.0,50.24
2021-08-11,34.54,50.68
2021-08-12,34.15,50.47
2021-08-13,34.07,50.26
2021-08-16,34.25,49.8
2021-08-17,34.08,48.95
2021-08-18,33.81,47.94
2021-08-19,33.46,47.25
2021-08-20,34.01,48.51
2021-08-23,34.32,49.05
2021-08-24,34.24,50.02
2021-08-25,34.29,50.21
2021-08-26,34.0,51.34
2021-08-27,34.53,52.0
2021-08-30,34.32,51.93
2021-08-31,34.63,52.11
2021-09-01,34.24,52.35
2021-09-02,34.52,52.59
2021-09-03,34.13,52.0
2021-09-07,34.04,50.91
2021-09-08,33.3,50.55
2021-09-09,33.67,50.08
2021-09-10,33.3,51.91
2021-09-13,33.73,53.98
2021-09-14,32.84,54.02
2021-09-15,34.06,55.08
2021-09-16,34.69,55.0
2021-09-17,35.1,55.09
2021-09-20,34.53,54.77
2021-09-21,34.48,55.71
2021-09-22,35.42,55.38
2021-09-23,35.68,55.78
2021-09-24,36.31,55.96
2021-09-27,36.93,56.03
2021-09-28,36.86,55.59
2021-09-29,37.25,56.09
2021-09-30,37.12,56.26
2021-10-01,37.68,57.65
2021-10-04,38.25,57.58
2021-10-05,38.63,57.94
2021-10-06,38.36,58.28
2021-10-07,38.84,58.24
2021-10-08,39.08,58.82
2021-10-11,38.9,58.28
2021-10-12,38.82,59.22
2021-10-13,39.11,58.88
2021-10-14,39.41,59.48
2021-10-15,38.97,59.49
2021-10-18,39.09,59.7
2021-10-19,39.93,59.97
2021-10-20,40.2,60.27
2021-10-21,39.64,60.24
2021-10-22,39.52,60.05
2021-10-25,38.93,60.29
2021-10-26,38.72,60.58
2021-10-27,37.48,59.86
2021-10-28,37.93,61.27
2021-10-29,36.96,61.09
2021-11-01,38.18,61.82
2021-11-02,38.68,61.79
2021-11-03,38.63,60.94
2021-11-04,38.42,60.34
2021-11-05,38.61,58.66
2021-11-08,37.9,59.03
2021-11-09,37.7,56.79
2021-11-10,37.81,55.29
2021-11-11,38.22,55.78
2021-11-12,38.15,55.91
2021-11-15,38.42,56.15
2021-11-16,37.61,56.23
2021-11-17,37.54,53.88
2021-11-18,36.92,53.33
2021-11-19,36.32,52.66
2021-11-22,36.07,51.2
2021-11-23,36.35,52.5
2021-11-24,35.88,53.08
2021-11-26,35.07,51.37
2021-11-29,34.49,50.8
2021-11-30,33.6,49.36
2021-12-01,32.22,47.71
2021-12-02,32.91,49.13
2021-12-03,33.54,49.42
2021-12-06,33.92,49.34
2021-12-07,33.95,49.76
2021-12-08,34.28,49.76
2021-12-09,34.15,48.71
2021-12-10,34.24,49.12
2021-12-13,33.8,48.12
2021-12-14,33.47,47.54
2021-12-15,33.73,48.26
2021-12-16,34.32,47.6
2021-12-17,34.22,48.16
2021-12-20,33.82,47.78
2021-12-21,34.21,47.59
2021-12-22,34.13,47.75
2021-12-23,34.51,48.36
2021-12-27,34.62,48.69
2021-12-28,34.77,48.97
2021-12-29,34.38,49.51
2021-12-30,34.75,48.98
2021-12-31,34.27,49.34
2022-01-03,34.99,49.86
2022-01-04,35.13,50.52
2022-01-05,34.76,48.67
2022-01-06,35.48,49.02
2022-01-07,36.0,50.02
2022-01-10,35.97,51.16
2022-01-11,35.86,51.54
2022-01-12,36.22,51.12
2022-01-13,36.84,52.38
2022-01-14,37.7,53.17
2022-01-18,36.7,52.45
2022-01-19,36.48,51.42
2022-01-20,35.27,50.5
