Date,Close
2022-04-11,61.29
2022-04-12,59.99
2022-04-13,60.5
2022-04-14,60.01
2022-04-18,59.86
2022-04-19,60.27
2022-04-20,60.78
2022-04-21,61.51
2022-04-22,60.99
2022-04-25,60.81
2022-04-26,60.61
2022-04-27,59.59
2022-04-28,60.65
2022-04-29,58.39
2022-05-02,59.81
2022-05-03,60.17
2022-05-04,61.54
2022-05-05,59.49
2022-05-06,58.58
2022-05-09,55.51
2022-05-10,57.92
2022-05-11,57.01
2022-05-12,57.35
2022-05-13,58.25
2022-05-16,58.04
2022-05-17,59.88
2022-05-18,60.2
2022-05-19,60.32
2022-05-20,60.91
2022-05-23,61.68
2022-05-24,61.66
2022-05-25,63.76
2022-05-26,66.09
2022-05-27,67.14
2022-05-31,66.77
2022-06-01,67.08
2022-06-02,67.3
2022-06-03,66.7
2022-06-06,66.56
2022-06-07,67.02
2022-06-08,66.15
2022-06-09,66.47
2022-06-10,63.64
2022-06-13,63.85
2022-06-14,64.01
2022-06-15,67.18
2022-06-16,64.87
2022-06-17,62.51
2022-06-21,61.02
2022-06-22,60.31
2022-06-23,59.43
2022-06-24,60.62
2022-06-27,61.0
2022-06-28,61.15
2022-06-29,62.01
2022-06-30,62.49
2022-07-01,62.56
2022-07-05,62.12
2022-07-06,63.49
2022-07-07,65.07
2022-07-08,63.76
2022-07-11,62.96
2022-07-12,63.72
2022-07-13,63.08
2022-07-14,62.78
2022-07-15,63.63
2022-07-18,63.29
2022-07-19,64.51
2022-07-20,66.27
2022-07-21,65.81
2022-07-22,66.22
2022-07-25,71.81
2022-07-26,69.39
2022-07-27,68.15
2022-07-28,69.49
2022-07-29,69.31
2022-08-01,70.71
2022-08-02,70.73
2022-08-03,70.98
2022-08-04,71.23
2022-08-05,70.85
2022-08-08,71.66
2022-08-09,72.13
2022-08-10,72.21
2022-08-11,72.44
2022-08-12,72.54
2022-08-15,72.17
2022-08-16,73.26
2022-08-17,71.81
2022-08-18,70.66
